rate,loc,group,stage
18.5,2,1,1
1.14285714285714,2,1,1
4,2,1,1
5.7,2,1,1
24.3,2,1,1
12.5,2,1,1
2.2,2,1,1
2,2,1,1
14.3333333333333,2,1,1
17.125,2,1,1
12.625,2,1,1
1.75,2,1,1
4.4,2,1,1
1.9,2,1,1
13.7,2,1,1
3.8,2,1,1
8.8,2,1,1
2.4,2,1,1
6.2,2,1,1
0.3,2,1,1
2,2,1,1
8.88888888888889,2,1,1
7.71428571428571,2,1,1
8.4,2,1,1
5.3,2,1,1
4.4,2,1,1
0.444444444444444,2,1,1
17.7,2,1,1
1.4,2,1,1
3.1,2,1,1
2,2,1,1
4.5,2,1,1
7.6,2,1,1
7.4,2,1,1
7.1,2,1,1
13.2,2,1,1
6.7,2,1,1
7.6,2,1,1
6,2,1,1
15.7,2,1,1
1.9,2,1,1
23.4,2,1,1
15.9,2,1,1
11.7,2,1,1
6.3,2,1,1
7.8,2,1,1
7.9,2,1,1
17.4,2,1,1
5.2,2,1,1
9.1,2,1,1
24.2,2,1,1
11.2,2,1,1
22.8,2,1,1
3.6,2,1,1
1,2,1,1
10.3333333333333,2,1,1
7.83333333333333,2,1,1
16,2,1,1
4.16666666666667,2,1,1
22.6666666666667,2,1,1
13.2857142857143,2,1,1
17.5714285714286,2,1,1
23.2857142857143,2,1,1
17.5,2,1,1
23.5,2,1,1
10.625,2,1,1
29,2,1,1
3.4,2,1,1
3.4,2,1,1
10.8,2,1,1
11,2,1,1
7.2,2,1,1
0.4,2,1,1
13.7,2,1,1
9.6,2,1,1
7.625,2,1,1
6.33333333333333,2,1,1
0.3,2,1,1
21,2,1,1
6.6,2,1,1
7.5,2,1,1
0.9,2,1,1
0.9,2,1,1
2.6,2,1,1
9.8,2,1,1
9.5,2,1,1
15.1,2,1,1
0.3,2,1,1
13.2,2,1,1
3.9,2,1,1
14.4,2,1,1
16.4,2,1,1
0.5,2,1,1
2.8,2,1,1
3.7,2,1,1
5.9,2,1,1
24.8,2,1,1
6,2,1,1
9.71428571428571,2,1,1
3.5,2,1,1
3.625,2,1,1
11.375,2,1,1
11.6,2,1,1
6.1,2,1,1
5.2,2,1,1
7.88888888888889,2,1,1
4.44444444444444,2,1,1
8,2,1,1
3.22222222222222,2,1,1
7.22222222222222,2,1,1
3.22222222222222,2,1,1
11,2,1,1
6.4,2,1,1
8.8,2,1,1
2.3,2,1,1
12.7,2,1,1
2.8,2,1,1
14.7,2,1,1
2.8,2,1,1
2.6,2,1,1
3.8,2,1,1
8.7,2,1,1
5.7,2,1,1
1.1,2,1,1
4.8,2,1,1
5.8,2,1,1
4.25,2,1,1
4.875,2,1,1
10,2,1,1
8,2,1,1
7.2,2,1,1
10.9,2,1,1
9.1,2,1,1
2.9,2,1,1
5.6,2,1,1
29,2,1,1
3.11111111111111,2,1,1
4.1,2,1,1
10.2,2,1,1
1.9,2,1,1
9,2,1,1
11.8,2,1,1
11.5,2,1,1
10.3,2,1,1
11.8,2,1,1
26.6,2,1,1
15.8,2,1,1
3.6,2,1,1
5.8,2,1,1
13.3,2,1,1
7.3,2,1,1
14,2,1,1
10.4444444444444,2,1,1
11.4,2,1,1
2.8,2,1,1
0.8,2,1,1
18.5,2,1,1
42.5,2,1,1
4.2,2,1,1
19.3,2,1,1
8.5,3,1,1
9.1,3,1,1
11.4,3,1,1
6.6,3,1,1
13.5,3,1,1
9,3,1,1
5.71428571428571,3,1,1
8.71428571428571,3,1,1
15.5714285714286,3,1,1
4.42857142857143,3,1,1
8.3,3,1,1
9.9,3,1,1
37.5,3,1,1
10,3,1,1
2.88888888888889,3,1,1
26.8,3,1,1
16.7,3,1,1
5.1,3,1,1
12.4,3,1,1
14.7,3,1,1
3.1,3,1,1
2.3,3,1,1
4.3,3,1,1
3.875,3,1,1
3.125,3,1,1
1.125,3,1,1
9,3,1,1
2.2,3,1,1
4.44444444444444,3,1,1
8.88888888888889,3,1,1
3.44444444444444,3,1,1
10.7777777777778,3,1,1
16.3333333333333,3,1,1
6.7,3,1,1
9.6,3,1,1
9.66666666666667,3,1,1
1.1,3,1,1
0.7,3,1,1
4.5,3,1,1
7.9,3,1,1
14.25,3,1,1
20,3,1,1
12.9,3,1,1
5.8,3,1,1
1.4,3,1,1
9.7,3,1,1
7.8,3,1,1
19.3,3,1,1
0.7,3,1,1
4.6,3,1,1
6.5,3,1,1
9.3,3,1,1
19.25,3,1,1
1.14285714285714,3,1,1
4.42857142857143,3,1,1
6.8,3,1,1
24.5,3,1,1
10.5,3,1,1
1.4,3,1,1
2.8,3,1,1
14.2222222222222,3,1,1
15.875,3,1,1
13.75,3,1,1
1.5,3,1,1
5.4,3,1,1
2,3,1,1
12.2,3,1,1
2.8,3,1,1
10.2,3,1,1
4.4,3,1,1
6.1,3,1,1
0.5,3,1,1
2.4,3,1,1
11.5,3,1,1
10.3,3,1,1
8.55555555555556,3,1,1
4.88888888888889,3,1,1
7.55555555555556,3,1,1
2.28571428571429,3,1,1
12.7,3,1,1
1,3,1,1
2.3,3,1,1
2.8,3,1,1
6.3,3,1,1
8.9,3,1,1
5.4,3,1,1
6.2,3,1,1
12.2,3,1,1
5,3,1,1
5.3,3,1,1
6.6,3,1,1
13.3,3,1,1
1.8,3,1,1
21.1,3,1,1
14.9,3,1,1
12.9,3,1,1
5.3,3,1,1
9.1,3,1,1
6.3,3,1,1
17.7,3,1,1
4.1,3,1,1
10.1,3,1,1
18.3,3,1,1
9.5,3,1,1
18.6,3,1,1
3.8,3,1,1
0.8,3,1,1
14.1666666666667,3,1,1
8.33333333333333,3,1,1
15.8333333333333,3,1,1
6.5,3,1,1
26.3333333333333,3,1,1
14.5714285714286,3,1,1
21.2857142857143,3,1,1
22.4285714285714,3,1,1
11.1666666666667,3,1,1
24.25,3,1,1
13.625,3,1,1
28.75,3,1,1
3.5,3,1,1
2.7,3,1,1
9.9,3,1,1
9.4,3,1,1
6.1,3,1,1
0.1,3,1,1
13.1,3,1,1
8.8,3,1,1
8.25,3,1,1
6.66666666666667,3,1,1
0,3,1,1
21.3,3,1,1
6.5,3,1,1
6.6,3,1,1
0.3,3,1,1
0.4,3,1,1
2.9,3,1,1
7.5,3,1,1
7.2,3,1,1
13.2,3,1,1
0,3,1,1
13.3,3,1,1
4.4,3,1,1
10.9,3,1,1
9.4,3,1,1
0.2,3,1,1
2.1,3,1,1
4.1,3,1,1
6,3,1,1
24.4,3,1,1
8.71428571428571,3,1,1
8,3,1,1
1.625,3,1,1
3.75,3,1,1
13,3,1,1
11.5,3,1,1
7.2,3,1,1
4.6,3,1,1
6.44444444444444,3,1,1
5.66666666666667,3,1,1
7.22222222222222,3,1,1
3.77777777777778,3,1,1
6.55555555555556,3,1,1
4.33333333333333,3,1,1
11.4,3,1,1
5.8,3,1,1
10.7,3,1,1
2.8,3,1,1
10.9,3,1,1
2.3,3,1,1
14.4,3,1,1
4.8,3,1,1
3.3,3,1,1
4,3,1,1
6.3,3,1,1
6.4,3,1,1
2.4,3,1,1
4.8,3,1,1
6,3,1,1
4.625,3,1,1
4.25,3,1,1
12.25,3,1,1
7.8,3,1,1
6.9,3,1,1
8.5,3,1,1
9.3,3,1,1
3.8,3,1,1
6.5,3,1,1
32.6666666666667,3,1,1
5,3,1,1
5.5,3,1,1
11.2,3,1,1
1,3,1,1
11.7,3,1,1
10.6,3,1,1
9.5,3,1,1
11.8,3,1,1
12.3,3,1,1
24.6,3,1,1
14.3,3,1,1
2.6,3,1,1
6.1,3,1,1
15.7,3,1,1
7,3,1,1
8.66666666666667,3,1,1
13.4444444444444,3,1,1
11.5,3,1,1
3.7,3,1,1
0.4,3,1,1
15.3,3,1,1
41.4,3,1,1
4.1,3,1,1
16.8,3,1,1
9.4,4,1,1
9.8,4,1,1
11.1,4,1,1
6.9,4,1,1
14.8,4,1,1
8.5,4,1,1
8.85714285714286,4,1,1
9.42857142857143,4,1,1
14.5714285714286,4,1,1
3.14285714285714,4,1,1
7.7,4,1,1
6.9,4,1,1
36.5,4,1,1
7.11111111111111,4,1,1
2.44444444444444,4,1,1
24.8,4,1,1
17,4,1,1
5.7,4,1,1
12.4,4,1,1
15.7,4,1,1
1.7,4,1,1
2.6,4,1,1
8.9,4,1,1
7,4,1,1
6.25,4,1,1
4,4,1,1
8.5,4,1,1
2.4,4,1,1
5.55555555555556,4,1,1
7.44444444444444,4,1,1
2.77777777777778,4,1,1
11.2222222222222,4,1,1
13.8888888888889,4,1,1
5.6,4,1,1
9.1,4,1,1
10.7777777777778,4,1,1
1.3,4,1,1
1.4,4,1,1
5.1,4,1,1
10,4,1,1
14.375,4,1,1
22.5,4,1,1
11.8,4,1,1
5.1,4,1,1
2.9,4,1,1
7.7,4,1,1
9.3,4,1,1
25.5,4,1,1
0.1,4,1,1
6.2,4,1,1
5.4,4,1,1
9,4,1,1
19.5,4,1,1
1.28571428571429,4,1,1
4.85714285714286,4,1,1
7.7,4,1,1
20.8,4,1,1
9.4,4,1,1
1.9,4,1,1
3.6,4,1,1
15.3333333333333,4,1,1
16.875,4,1,1
12.875,4,1,1
2.5,4,1,1
4.7,4,1,1
1.9,4,1,1
15.5,4,1,1
2.7,4,1,1
13.8,4,1,1
3.5,4,1,1
5.5,4,1,1
0.1,4,1,1
2.5,4,1,1
12,4,1,1
9.33333333333333,4,1,1
10.9,4,1,1
6.9,4,1,1
6.8,4,1,1
1.8,4,1,1
14.1,4,1,1
1.4,4,1,1
3.7,4,1,1
2,4,1,1
6.7,4,1,1
9.8,4,1,1
8,4,1,1
7.1,4,1,1
10.9,4,1,1
6.1,4,1,1
8.2,4,1,1
5.7,4,1,1
14.2,4,1,1
2.1,4,1,1
23,4,1,1
14.6,4,1,1
13.7,4,1,1
7,4,1,1
9.3,4,1,1
7.8,4,1,1
15.2,4,1,1
5.3,4,1,1
9.9,4,1,1
24.1,4,1,1
10.8,4,1,1
24,4,1,1
2,4,1,1
1.7,4,1,1
16.1666666666667,4,1,1
8.83333333333333,4,1,1
14.1666666666667,4,1,1
5.5,4,1,1
27.1666666666667,4,1,1
12.1428571428571,4,1,1
21.7142857142857,4,1,1
25.1428571428571,4,1,1
17.5,4,1,1
20.125,4,1,1
11.125,4,1,1
30.125,4,1,1
3.8,4,1,1
2.1,4,1,1
8.8,4,1,1
10,4,1,1
4.7,4,1,1
0.4,4,1,1
13.7,4,1,1
8.5,4,1,1
3.25,4,1,1
7.33333333333333,4,1,1
0.1,4,1,1
16.4,4,1,1
5,4,1,1
5.9,4,1,1
0.3,4,1,1
0.4,4,1,1
3.8,4,1,1
9.4,4,1,1
8.3,4,1,1
9.6,4,1,1
0.2,4,1,1
13.8,4,1,1
3.4,4,1,1
12.4,4,1,1
6,4,1,1
0.1,4,1,1
1.2,4,1,1
3.6,4,1,1
6.7,4,1,1
29.9,4,1,1
5.28571428571429,4,1,1
12,4,1,1
1.75,4,1,1
1.75,4,1,1
10.875,4,1,1
9.7,4,1,1
4.8,4,1,1
8.6,4,1,1
8.55555555555556,4,1,1
4.11111111111111,4,1,1
6.11111111111111,4,1,1
4.44444444444444,4,1,1
7,4,1,1
4.22222222222222,4,1,1
12.9,4,1,1
5,4,1,1
7.7,4,1,1
3.2,4,1,1
18.9,4,1,1
1.3,4,1,1
11.4,4,1,1
5.1,4,1,1
2.5,4,1,1
5.2,4,1,1
8.7,4,1,1
5.8,4,1,1
3.2,4,1,1
6.3,4,1,1
5.8,4,1,1
3.625,4,1,1
5.375,4,1,1
15.25,4,1,1
9.7,4,1,1
9.4,4,1,1
8.3,4,1,1
9.1,4,1,1
3.5,4,1,1
4.9,4,1,1
28.3333333333333,4,1,1
4.44444444444444,4,1,1
3,4,1,1
11.6,4,1,1
0.8,4,1,1
8.6,4,1,1
10.1,4,1,1
11.875,4,1,1
10.4,4,1,1
9.5,4,1,1
30,4,1,1
17,4,1,1
3,4,1,1
5.8,4,1,1
13.4,4,1,1
9.2,4,1,1
7.88888888888889,4,1,1
12.6666666666667,4,1,1
13.1,4,1,1
3.4,4,1,1
1.3,4,1,1
14.2,4,1,1
31.5,4,1,1
3.6,4,1,1
20.6,4,1,1
9.3,5,1,1
7.2,5,1,1
10.5,5,1,1
7.9,5,1,1
16.7,5,1,1
7.1,5,1,1
4.57142857142857,5,1,1
9.42857142857143,5,1,1
15.4285714285714,5,1,1
3.28571428571429,5,1,1
8.5,5,1,1
9.1,5,1,1
40,5,1,1
10,5,1,1
3.55555555555556,5,1,1
28.5,5,1,1
19.6,5,1,1
7.3,5,1,1
13.1,5,1,1
17.3,5,1,1
0.9,5,1,1
1.6,5,1,1
4.9,5,1,1
7.5,5,1,1
5.25,5,1,1
1.25,5,1,1
6.4,5,1,1
1.7,5,1,1
7.22222222222222,5,1,1
8.55555555555556,5,1,1
1.77777777777778,5,1,1
12.8888888888889,5,1,1
14.2222222222222,5,1,1
5.9,5,1,1
9.7,5,1,1
10.4444444444444,5,1,1
0.2,5,1,1
0.3,5,1,1
2.8,5,1,1
8.2,5,1,1
19.25,5,1,1
20.75,5,1,1
15.7,5,1,1
5.2,5,1,1
1.8,5,1,1
7.9,5,1,1
8.7,5,1,1
27.9,5,1,1
0.3,5,1,1
6.8,5,1,1
6.1,5,1,1
11.2,5,1,1
17.75,5,1,1
1,5,1,1
5.57142857142857,5,1,1
11.8,5,1,1
17.5,5,1,1
9.4,5,1,1
1.7,5,1,1
3,5,1,1
12.7777777777778,5,1,1
20.625,5,1,1
14.5,5,1,1
2.5,5,1,1
4.8,5,1,1
2.1,5,1,1
12.1,5,1,1
3.8,5,1,1
7.2,5,1,1
2.4,5,1,1
5.9,5,1,1
0,5,1,1
2.2,5,1,1
15,5,1,1
9.8,5,1,1
11.6666666666667,5,1,1
4.77777777777778,5,1,1
7.11111111111111,5,1,1
0.444444444444444,5,1,1
14,5,1,1
1.6,5,1,1
2.7,5,1,1
2,5,1,1
6.7,5,1,1
9.2,5,1,1
7.6,5,1,1
7.8,5,1,1
12.4,5,1,1
6,5,1,1
8.2,5,1,1
5.8,5,1,1
13.8,5,1,1
1.5,5,1,1
17.3,5,1,1
9.9,5,1,1
11.7,5,1,1
6.2,5,1,1
10.1,5,1,1
8.3,5,1,1
18.9,5,1,1
2.7,5,1,1
9.1,5,1,1
23.5,5,1,1
13,5,1,1
23.4,5,1,1
3.9,5,1,1
1.5,5,1,1
8,5,1,1
8.33333333333333,5,1,1
15.8333333333333,5,1,1
6.83333333333333,5,1,1
18.3333333333333,5,1,1
14.2857142857143,5,1,1
21.5714285714286,5,1,1
26,5,1,1
15.6666666666667,5,1,1
24.125,5,1,1
10.25,5,1,1
34.5,5,1,1
5.9,5,1,1
